20230805	23:08:27	3eb02060-fe21-4f89-85f0-6ea8923f91ed	/new-page.html	GET
20230805	23:08:40	4582f774-66ec-4a02-a6f6-f2bc55879f50	/new-page.html	GET
20230806	15:51:00	ac3b6cea-0dc4-4b49-b119-64dd4f10dda0	GET	undefined	/
20230806	15:51:00	faea2724-fce4-4dbf-883d-de457e8874c9	GET	undefined	/css/style.css
20230806	15:52:34	1c6be1ae-cb0f-4770-88e8-69d2a910fef8	GET	undefined	/
20230806	15:52:34	1547c7b4-058d-4d3f-bcc1-adecfa0b2e56	GET	undefined	/css/style.css
20230806	15:54:34	ace3a2b2-2e66-4f96-b6e4-649947895d64	OPTIONS	https://www.google.com	/
20230806	15:54:34	5d5d1d47-8c61-48ac-882b-bcfe8b9aa2a8	GET	https://www.google.com	/
20230806	15:56:45	1dca938f-1430-4062-847f-42414cdbbf06	OPTIONS	https://www.google.com	/
20230806	15:56:45	86d42455-8fed-4b16-a0e0-893a768a4fd0	GET	https://www.google.com	/
20230806	15:57:02	6f42a1fa-3aa1-4e9f-bc9e-07c5853888e6	GET	undefined	/
20230806	15:57:02	c3cd3bdc-7040-4752-9026-72fd8db2d8a5	GET	undefined	/css/style.css
20230806	16:01:42	d72a2544-256f-4c60-8704-dca9269985f5	OPTIONS	https://www.google.com	/
20230806	16:01:42	689c9c33-2285-48fe-b350-bd279dd48ffd	GET	https://www.google.com	/
20230806	16:02:26	0a863002-3300-4df3-bd26-f36816fea72e	OPTIONS	https://www.google.com	/
20230806	16:02:26	a6cf5383-f18d-4b33-86f3-3841f2d4873d	GET	https://www.google.com	/
20230806	16:06:31	2cdf7d93-3ad4-4746-b0d4-14f2ddbe09ee	GET	undefined	/
20230806	16:07:09	a9adc062-354c-4a10-b956-391dd0e3c0a2	GET	undefined	/
20230806	16:07:09	46d49c2a-9db8-4859-ad82-e40be0776709	GET	undefined	/css/style.css
20230806	16:13:52	853ddef4-4a12-4f84-816f-6e35506e21d7	GET	undefined	/
20230806	16:14:10	909acc6a-943a-4d61-b677-9ef75b14ceaf	GET	undefined	/
20230806	16:14:11	11a03ae1-99ce-4f7e-a2ef-606af2de3120	GET	undefined	/css/style.css
20230806	16:14:16	19db786a-98e3-485e-9312-841d924a8e0f	GET	undefined	/
20230806	16:14:17	3b545d34-e4a2-4525-a990-fd538ca1976a	GET	undefined	/
20230806	16:14:36	d3c53625-062f-4697-bc7f-4337d6fcf631	GET	undefined	/
20230806	16:15:02	3b45fde0-055d-4212-9fbf-82eae2160da1	GET	undefined	/
20230806	16:15:02	39c9736b-24c2-4879-8f2d-0d33edef2f56	GET	undefined	/css/style.css
20230806	16:16:33	f05c9f87-ccca-4aad-8db1-8de5e020ebc6	GET	undefined	/
20230806	16:16:33	cf5c53f7-8aa0-4eae-befc-407e8234c5ac	GET	undefined	/css/style.css
20230806	16:16:40	e5fff5ec-633a-499e-8955-581e8793de15	GET	undefined	/date
20230806	16:16:40	c87505cb-b343-444f-9345-1f1cdd008201	GET	undefined	/css/style.css
20230806	16:18:27	c8e851ec-1104-46b0-9834-aa9a5c0a5b2d	GET	undefined	/date
20230806	16:18:28	f0ae3e91-3dd2-4004-9135-28c246681687	GET	undefined	/date
20230806	16:18:45	7520079c-269c-47a4-b113-b278342cbc79	GET	undefined	/date
20230806	16:18:58	5683199d-b4e5-4aa9-a6ab-5dd9133944fb	GET	undefined	/date
20230806	16:19:24	9c80f87e-4f95-4596-9562-0378cb92b2af	GET	undefined	/date
20230806	16:19:37	dd960ec4-623c-4604-9d5c-ff4b987ef974	GET	undefined	/date
20230806	16:19:37	0397c4d9-c6be-40ce-97aa-7179c7f6df80	GET	undefined	/css/style.css
20230806	16:26:21	5e8411af-f7e7-4700-af64-9c26f828a4cf	GET	undefined	/
